Título,Consola,Año,Género,Distribuidora,Ventas NA(M),Ventas EU(M),Ventas JP(M),Ventas otras regiones,Ventas globales,Nivel de ventas globales
Airship Q,PSV,2015,Platform,Cygames,0.0,0.0,0.03,0.0,0.03,Bajo
Ratatouille,PC,2007,Action,THQ,0.01,0.01,0.0,0.0,0.03,Bajo
Otomedius Gorgeous,X360,2008,Shooter,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Jikandia: The Timeless Land,PSP,2010,Role-Playing,Idea Factory,0.03,0.0,0.0,0.0,0.03,Bajo
Egg Mania: Eggstreme Madness,PS2,2002,Puzzle,Kemco,0.02,0.01,0.0,0.0,0.03,Bajo
Super Heroine Chronicle,PS3,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Boot Camp Academy,Wii,2010,Action,Zoo Games,0.03,0.0,0.0,0.0,0.03,Bajo
Kiniro no Corda 3,PS2,2010,Adventure,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Zero Escape: Virtue's Last Reward,3DS,2012,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03,Bajo
Darkstalkers Resurrection,PS3,2013,Fighting,Capcom,0.0,0.0,0.03,0.0,0.03,Bajo
Take On Helicopters,PC,2011,Simulation,Unknown,0.0,0.02,0.0,0.01,0.03,Bajo
Highschool Terra Story,SAT,1998,Adventure,KID,0.0,0.0,0.03,0.0,0.03,Bajo
Emergency! Disaster Rescue Squad,DS,2009,Simulation,Destineer,0.03,0.0,0.0,0.0,0.03,Bajo
Shaun White Skateboarding,PC,2010,Sports,Ubisoft,0.0,0.03,0.0,0.01,0.03,Bajo
Empire Earth II,PC,2005,Strategy,Vivendi Games,0.0,0.03,0.0,0.0,0.03,Bajo
Suggoi! Arcana Heart 2,PS2,2009,Fighting,AQ Interactive,0.0,0.0,0.03,0.0,0.03,Bajo
MotoGP 15,XOne,2015,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03,Bajo
NBA 2K13,PC,2012,Sports,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,Bajo
Mother Goose no Himitsu no Yakata,PSP,2011,Adventure,Quinrose,0.0,0.0,0.03,0.0,0.03,Bajo
Harry Potter and the Half-Blood Prince,PC,2009,Action,Electronic Arts,0.0,0.03,0.0,0.01,0.03,Bajo
Winning Post 7 2009,PSP,2009,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Knights of Honor,PC,2004,Strategy,Sunflowers,0.0,0.02,0.0,0.01,0.03,Bajo
Puzzle & Action: Tant-R,GEN,1994,Misc,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
Code Lyoko: Quest for Infinity,PSP,2008,Action,Game Factory,0.03,0.0,0.0,0.0,0.03,Bajo
Away: Shuffle Dungeon,DS,2008,Role-Playing,Majesco Entertainment,0.02,0.0,0.0,0.0,0.03,Bajo
Digimon World 4,XB,2005,Role-Playing,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
Bubble Bobble Evolution,PSP,2006,Puzzle,Rising Star Games,0.03,0.0,0.0,0.0,0.03,Bajo
Codename: Panzers Cold War,PC,2009,Strategy,Atari,0.0,0.02,0.0,0.01,0.03,Bajo
Kekkaishi: Kokubourou Shuurai,DS,2008,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Shugo Chara! Amunonijiro Chara Change,DS,2008,Action,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Galleon: Islands of Mystery,XB,2004,Action,SCi,0.02,0.01,0.0,0.0,0.03,Bajo
Renai 0 Kilometer,PSP,2013,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,Bajo
World Sports Competition,PS3,2009,Sports,Hudson Soft,0.02,0.0,0.0,0.01,0.03,Bajo
Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Tantei Jinguuji Saburo DS: Kienai Kokoro,DS,2008,Adventure,Arc System Works,0.0,0.0,0.03,0.0,0.03,Bajo
Far East of Eden Shinden,NG,1995,Fighting,Hudson Soft,0.0,0.0,0.03,0.0,0.03,Bajo
Sunny Garcia Surfing,PS2,2001,Sports,Ubisoft,0.02,0.01,0.0,0.0,0.03,Bajo
MotorHead,PS,1998,Racing,Gremlin Interactive Ltd,0.02,0.01,0.0,0.0,0.03,Bajo
Alia's Carnival! Sacrament,PSV,2015,Adventure,dramatic create,0.0,0.0,0.03,0.0,0.03,Bajo
Nacho Libre,DS,2006,Action,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
StormLover,PSP,2010,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Gensou Suikoden I & II,PSP,2006,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Gloria Union,PSP,2011,Role-Playing,Atlus,0.0,0.0,0.03,0.0,0.03,Bajo
Ebikore Photo Kano Kiss,PSV,2015,Action,Kadokawa Games,0.0,0.0,0.03,0.0,0.03,Bajo
Bad Apple Wars,PSV,2015,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Transformers: Devastation,PC,2015,Action,Activision,0.0,0.03,0.0,0.0,0.03,Bajo
Eyeshield 21: DevilBats DevilDays,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.03,0.0,0.03,Bajo
Jyuzaengi: Engetsu Sangokuden,PSP,2012,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Dancing Blade II: Tears of Eden,PS,1999,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Kokoro no Kokoron,DS,2011,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Hiiro no Kakera 3: Aoikuro no Kusabi,PS2,2008,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
BeatMania IIDX 13: DistorteD,PS2,2007,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Section 8,PC,2009,Shooter,SouthPeak Games,0.01,0.01,0.0,0.0,0.03,Bajo
Go! Go! Hypergrind,GC,2003,Sports,Atlus,0.02,0.01,0.0,0.0,0.03,Bajo
Keshisasu-Kun: Battle Kas-tival,DS,2010,Action,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Hot Pixel,PSP,2007,Puzzle,Atari,0.03,0.0,0.0,0.0,0.03,Bajo
Peak Performance,PS,1997,Racing,JVC,0.02,0.01,0.0,0.0,0.03,Bajo
Dance Dance Revolution: Hottest Party 5,Wii,2011,Misc,Konami Digital Entertainment,0.0,0.03,0.0,0.0,0.03,Bajo
Who Wants to be a Millionaire: 2nd Edition,Wii,2008,Misc,Ubisoft,0.0,0.03,0.0,0.0,0.03,Bajo
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,2012,Adventure,ChunSoft,0.0,0.0,0.03,0.0,0.03,Bajo
DokiDoki Majo Shinpan! 2,DS,2008,Adventure,SNK Playmore,0.0,0.0,0.03,0.0,0.03,Bajo
S.L.A.I.: Steel Lancer Arena International,PS2,2005,Simulation,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.03,Bajo
Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,Action,Game Factory,0.03,0.0,0.0,0.0,0.03,Bajo
Freaky Flyers,XB,2003,Racing,Midway Games,0.02,0.01,0.0,0.0,0.03,Bajo
Blokus Portable: Steambot Championship,PSP,2006,Puzzle,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Renai Revenge,PSV,2015,Adventure,TGL,0.0,0.0,0.03,0.0,0.03,Bajo
Zoboomafoo: Leapin' Lemurs!,PS,2001,Action,Encore,0.02,0.01,0.0,0.0,0.03,Bajo
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Dennou Senki Virtual-On Force,X360,2010,Fighting,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
Sins of a Solar Empire,PC,2008,Strategy,Pinnacle,0.0,0.02,0.0,0.01,0.03,Bajo
Graffiti Kingdom,PS2,2004,Role-Playing,505 Games,0.01,0.01,0.0,0.0,0.03,Bajo
Langrisser: Re:Incarnation Tensei,3DS,2015,Role-Playing,Extreme Entertainment Group,0.02,0.0,0.01,0.0,0.03,Bajo
Nettou! Powerful Koushien,DS,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0.0,0.03,0.0,0.0,0.03,Bajo
Great Edo Blacksmith,PSV,2014,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,Bajo
Armored Core SL: Silent Line Portable,PSP,2009,Simulation,From Software,0.0,0.0,0.03,0.0,0.03,Bajo
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,PSP,2008,Adventure,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,Bajo
Lethal Enforcers I & II,PS,1996,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Klonoa 2: Dream Champ Tournament,GBA,2002,Platform,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,Bajo
Shantae and the Pirate's Curse,3DS,2015,Platform,Intergrow,0.0,0.0,0.03,0.0,0.03,Bajo
Minna no Golf Jou Vol.1,PSP,2007,Sports,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
The Peanuts Movie: Snoopy's Grand Adventure,3DS,2015,Action,Activision,0.0,0.03,0.0,0.0,0.03,Bajo
Resident Evil 4,PC,2007,Action,Ubisoft,0.0,0.02,0.0,0.01,0.03,Bajo
Power Rangers Super Megaforce,3DS,2014,Action,Namco Bandai Games,0.01,0.01,0.0,0.0,0.03,Bajo
Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,Activision,0.01,0.02,0.0,0.0,0.03,Bajo
Cabela's Big Game Hunter: Pro Hunts,PS3,2014,Shooter,Activision,0.03,0.0,0.0,0.0,0.03,Bajo
Super Collapse! II,GBA,2004,Puzzle,Majesco Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Ducati World Racing Challenge,PS,2001,Racing,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Pop'n Music 14 Fever!,PS2,2007,Misc,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Golden Nugget Casino / Texas Hold 'Em Double Pack,GBA,2005,Misc,Majesco Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010,Role-Playing,Gust,0.0,0.0,0.03,0.0,0.03,Bajo
Lux-Pain (JP sales),DS,2008,Adventure,Rising Star Games,0.0,0.0,0.03,0.0,0.03,Bajo
Smashing Drive,GBA,2004,Racing,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Bajo
Senko no Ronde DUO,X360,2010,Fighting,G.Rev,0.0,0.0,0.03,0.0,0.03,Bajo
Starshot: Space Circus Fever,N64,1998,Platform,Infogrames,0.02,0.01,0.0,0.0,0.03,Bajo
Charlie Blasts Territory,N64,1999,Action,Kemco,0.02,0.01,0.0,0.0,0.03,Bajo
Big Mountain 2000,N64,1998,Sports,Imagineer,0.02,0.01,0.0,0.0,0.03,Bajo
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
CIMA: The Enemy,GBA,2003,Role-Playing,Marvelous Interactive,0.02,0.01,0.0,0.0,0.03,Bajo
N+,PSP,2007,Platform,Atari,0.03,0.0,0.0,0.0,0.03,Bajo
Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,2010,Fighting,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,Bajo
Code Geass: Hangyaku no Lelouch,DS,2007,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
GTR Evolution,PC,2008,Racing,Atari,0.0,0.02,0.0,0.01,0.03,Bajo
Hudson x GReeeeN Live!? DeeeeS!?,DS,2010,Misc,Hudson Soft,0.0,0.0,0.03,0.0,0.03,Bajo
Daibakushou: Jinsei Gekijou,SNES,1995,Misc,Taito,0.0,0.0,0.03,0.0,0.03,Bajo
Marble Madness / Klax,GBA,2005,Puzzle,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Bajo
Downstream Panic!,PSP,2008,Action,Atari,0.03,0.0,0.0,0.0,0.03,Bajo
DJ Max Portable 3,PSP,2010,Misc,CyberFront,0.01,0.0,0.02,0.0,0.03,Bajo
Suzumiya Haruhi no Chokuretsu,DS,2009,Adventure,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
SimCity,PC,1988,Simulation,Maxis,0.0,0.02,0.0,0.01,0.03,Bajo
The Idolmaster: Gravure For You! Vol. 5,PS3,2012,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
S.Y.K Renshouden,PS2,2010,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Casino Chaos With Las Vegas Players Collection,PC,2011,Misc,THQ,0.03,0.0,0.0,0.0,0.03,Bajo
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
Konpeki no Kantai,SNES,1995,Strategy,Angel Studios,0.0,0.0,0.03,0.0,0.03,Bajo
D.C.I.F.: Da Capo Innocent Finale,PS2,2009,Adventure,Sweets,0.0,0.0,0.03,0.0,0.03,Bajo
Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03,Bajo
Nectaris: Military Madness,PS,1998,Strategy,Hudson Soft,0.02,0.01,0.0,0.0,0.03,Bajo
Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,0.0,0.02,0.0,0.01,0.03,Bajo
Tenka-bito,PS2,2006,Strategy,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
BRAHMA Force: The Assault on Beltlogger 9,PS,1996,Shooter,JVC,0.02,0.01,0.0,0.0,0.03,Bajo
Petz: Dolphinz Encounter,DS,2009,Simulation,Ubisoft,0.01,0.01,0.0,0.0,0.03,Bajo
Star Trek: Tactical Assault,PSP,2006,Strategy,Ubisoft,0.02,0.01,0.0,0.0,0.03,Bajo
Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009,Action,Takara Tomy,0.0,0.0,0.03,0.0,0.03,Bajo
Robo Pit,PS,1995,Fighting,Kokopeli Digital Studios,0.02,0.01,0.0,0.0,0.03,Bajo
Emily Archer and the Curse of Tutankhamun,DS,2011,Adventure,Mastertronic,0.0,0.03,0.0,0.0,0.03,Bajo
Story Hour: Adventures,Wii,2008,Adventure,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.03,Bajo
Braid,PC,2009,Platform,Number None,0.0,0.02,0.0,0.01,0.03,Bajo
Muv-Luv Alternative: Total Eclipse,PS3,2013,Simulation,5pb,0.0,0.0,0.03,0.0,0.03,Bajo
R-Type III: The Third Lightning,GBA,2004,Shooter,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Bajo
Star Wars: The Force Unleashed II,PC,2010,Action,LucasArts,0.03,0.0,0.0,0.0,0.03,Bajo
Need for Speed (2015),PC,2016,Racing,Electronic Arts,0.0,0.03,0.0,0.0,0.03,Bajo
Hakuouki,PS2,2008,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,Bajo
"Princess Natasha: Student, Secret Agent, Princess",DS,2006,Action,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.03,Bajo
Atomic Betty,GBA,2005,Puzzle,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03,Bajo
Robin Hood: Defender of the Crown,XB,2003,Strategy,Capcom,0.02,0.01,0.0,0.0,0.03,Bajo
Street Jam Basketball,GBA,2004,Sports,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Bajo
Master of Monsters: Disciples of Gaia,PS,1997,Strategy,Agetec,0.02,0.01,0.0,0.0,0.03,Bajo
Armored Core: Last Raven Portable,PSP,2010,Simulation,From Software,0.0,0.0,0.03,0.0,0.03,Bajo
SD Gundam: Gashapon Wars,Wii,2010,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Commander: Conquest of the Americas,PC,2010,Strategy,Paradox Interactive,0.0,0.02,0.0,0.01,0.03,Bajo
Curious George,XB,2006,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,Bajo
Disney's Aladdin,GBA,2003,Platform,Capcom,0.02,0.01,0.0,0.0,0.03,Bajo
Royal Palace of White Sword and The City of Gentiles,PC,2009,Role-Playing,Take-Two Interactive,0.0,0.02,0.0,0.01,0.03,Bajo
Virtual Pool: Tournament Edition,XB,2005,Sports,Global Star,0.02,0.01,0.0,0.0,0.03,Bajo
Kung Fu Panda: Showdown of Legendary Legends,X360,2015,Action,Little Orbit,0.0,0.03,0.0,0.0,0.03,Bajo
Nippon no Asoko de,PSP,2008,Misc,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0.0,0.0,0.03,Bajo
MapleStory DS,DS,2010,Role-Playing,Nexon,0.0,0.0,0.03,0.0,0.03,Bajo
Phantasy Star Online 2: Episode 3 Deluxe Package,PSV,2015,Action,Sega,0.0,0.0,0.03,0.0,0.03,Bajo
Pimp My Ride: Street Racing,DS,2009,Racing,Activision,0.03,0.0,0.0,0.0,0.03,Bajo
Let's Dance with Mel B,PS3,2011,Sports,Black Bean Games,0.0,0.02,0.0,0.01,0.03,Bajo
Popeye: Rush for Spinach,GBA,2005,Platform,Atari,0.02,0.01,0.0,0.0,0.03,Bajo
Culdcept,PS2,2002,Strategy,Sega,0.01,0.01,0.0,0.0,0.03,Bajo
Beyblade Evolution,3DS,2013,Action,Rising Star Games,0.02,0.01,0.0,0.0,0.03,Bajo
Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,0.0,0.03,0.0,0.0,0.03,Bajo
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996,Role-Playing,NEC,0.0,0.0,0.03,0.0,0.03,Bajo
BeatMania IIDX 15: DJ Troopers,PS2,2008,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Heathcliff! The Fast and the Furriest,Wii,2010,Racing,Storm City Games,0.03,0.0,0.0,0.0,0.03,Bajo
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015,Role-Playing,Compile Heart,0.0,0.0,0.03,0.0,0.03,Bajo
Planet of the Apes,GBA,2001,Action,Ubisoft,0.02,0.01,0.0,0.0,0.03,Bajo
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011,Misc,Unknown,0.0,0.0,0.03,0.0,0.03,Bajo
Worms,PS3,2009,Strategy,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03,Bajo
Drake & Josh: Talent Showdown,DS,2007,Adventure,THQ,0.03,0.0,0.0,0.0,0.03,Bajo
Real World Golf,XB,2006,Sports,Mad Catz,0.02,0.01,0.0,0.0,0.03,Bajo
Winx Club: Rockstars,DS,2010,Adventure,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,Bajo
Hissatsu Pachinko Collection 3,SNES,1995,Misc,Sunsoft,0.0,0.0,0.03,0.0,0.03,Bajo
Oumagatoki: Kaidan Romance,PSP,2012,Action,Quinrose,0.0,0.0,0.03,0.0,0.03,Bajo
Jack Keane,PC,2008,Adventure,Kalypso Media,0.0,0.02,0.0,0.0,0.03,Bajo
World of Zoo,PC,2009,Simulation,THQ,0.0,0.02,0.0,0.01,0.03,Bajo
Kung Fu Panda: Legendary Warriors,DS,2008,Action,Activision,0.02,0.0,0.0,0.0,0.03,Bajo
Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Hayate no Gotoku! Nightmare Paradise,PSP,2009,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
NBA 08,PSP,2007,Sports,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03,Bajo
Secret Files 2: Puritas Cordis,Wii,2009,Adventure,Deep Silver,0.0,0.03,0.0,0.0,0.03,Bajo
Nanashi no Game Me,DS,2009,Action,Square Enix,0.0,0.0,0.03,0.0,0.03,Bajo
Heroes of Hellas 2: Olympia,DS,2012,Puzzle,Unknown,0.0,0.03,0.0,0.0,0.03,Bajo
Young Justice: Legacy,3DS,2013,Action,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,Bajo
Syberia,PC,2002,Action,Microids,0.0,0.02,0.0,0.0,0.03,Bajo
Bladestorm: Nightmare,PS3,2015,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
NatGeo Challenge! Wild Life,X360,2010,Misc,Black Bean Games,0.0,0.02,0.0,0.0,0.03,Bajo
Higurashi no Naku Koro ni Iki,PSV,2015,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,Bajo
HappinessCharge PreCure! Kawarun Collection,3DS,2014,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Dream Pinball 3D,DS,2008,Misc,SouthPeak Games,0.03,0.0,0.0,0.0,0.03,Bajo
DICE: DNA Integrated Cybernetic Enterprises,PS2,2005,Shooter,Namco Bandai Games,0.01,0.01,0.0,0.0,0.03,Bajo
Battlefield 1942: The WW II Anthology,PC,2004,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,Bajo
Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,DS,2007,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Megpoid the Music#,PSP,2013,Misc,Asgard,0.0,0.0,0.03,0.0,0.03,Bajo
Game of Thrones (Telltale),XOne,2015,Adventure,Telltale Games,0.03,0.0,0.0,0.0,0.03,Bajo
Wallace & Gromit in Project Zoo,XB,2003,Platform,BAM! Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Rugby League Live,PS3,2010,Sports,Home Entertainment Suppliers,0.0,0.02,0.0,0.01,0.03,Bajo
Grid Runner,PS,1996,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.03,Bajo
Saihai no Yukue,DS,2008,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Metal Dungeon,XB,2002,Role-Playing,Xicat Interactive,0.02,0.01,0.0,0.0,0.03,Bajo
Drome Racers,GC,2003,Racing,Electronic Arts,0.02,0.01,0.0,0.0,0.03,Bajo
Guitar Freaks V & DrumMania V,PS2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,DS,2009,Adventure,Level 5,0.0,0.0,0.03,0.0,0.03,Bajo
Driver: Parallel Lines,Wii,2007,Racing,Ubisoft,0.01,0.01,0.0,0.0,0.03,Bajo
Doom,PC,1992,Shooter,id Software,0.02,0.0,0.0,0.0,0.03,Bajo
Gekido Advance: Kintaro's Revenge,GBA,2002,Action,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Bajo
OZMAFIA!! -vivace-,PSV,2015,Adventure,dramatic create,0.0,0.0,0.03,0.0,0.03,Bajo
Girls Only,DS,2010,Simulation,Foreign Media Games,0.03,0.0,0.0,0.0,0.03,Bajo
Future Tactics: The Uprising,XB,2004,Strategy,JoWood Productions,0.02,0.01,0.0,0.0,0.03,Bajo
Power Poke Dash,GBA,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,Misc,D3Publisher,0.0,0.0,0.03,0.0,0.03,Bajo
Detective Opera: Milky Holmes 2,PSP,2012,Adventure,BushiRoad,0.0,0.0,0.03,0.0,0.03,Bajo
Turn It Around,DS,2006,Action,505 Games,0.03,0.0,0.0,0.0,0.03,Bajo
Blaze Union: Story to Reach the Future,PSP,2010,Role-Playing,Sting,0.0,0.0,0.03,0.0,0.03,Bajo
Attack on Titan (KOEI),XOne,2016,Action,Tecmo Koei,0.01,0.01,0.0,0.0,0.03,Bajo
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03,Bajo
Race Driver 2006,PSP,2006,Racing,Codemasters,0.03,0.0,0.0,0.0,0.03,Bajo
Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,Bajo
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,Action,THQ,0.02,0.01,0.0,0.0,0.03,Bajo
My Hero Academia: Battle for All,3DS,2016,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Bajo
Nisekoi: Yomeiri!?,PSV,2014,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
New Tokyo Legacy: Operation Babel,PSV,2015,Role-Playing,5pb,0.0,0.0,0.03,0.0,0.03,Bajo
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011,Misc,Unknown,0.0,0.0,0.03,0.0,0.03,Bajo
Rugby League Live 3,X360,2015,Action,Tru Blu Entertainment,0.0,0.03,0.0,0.0,0.03,Bajo
Triple Pack: Xbox Live Arcade Compilation,X360,2011,Misc,Microsoft Game Studios,0.03,0.0,0.0,0.0,0.03,Bajo
101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0.0,0.0,0.0,0.03,Bajo
Roadsters,PS,2000,Racing,Titus,0.02,0.01,0.0,0.0,0.03,Bajo
The Croods: Prehistoric Party!,WiiU,2013,Misc,D3Publisher,0.01,0.01,0.0,0.0,0.03,Bajo
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0.0,0.0,0.03,0.0,0.03,Bajo
DeathSmiles II,X360,2010,Shooter,Cave,0.0,0.0,0.03,0.0,0.03,Bajo
Romance of the Three Kingdoms II,3DS,2015,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Bajo
Calcio Bit,GBA,2006,Sports,Nintendo,0.0,0.0,0.03,0.0,0.03,Bajo
Monsters vs. Aliens,PC,2009,Action,Activision,0.01,0.01,0.0,0.0,0.03,Bajo
Whiteout,XB,2002,Racing,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,Bajo
Hyakumanton no Bara Bara,PSP,2010,Strategy,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,Bajo
Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03,Bajo
